readable,version,protocol_version,protocol_type,release_type,data_version,resource_pack_format,data_pack_format,notes
header-PreClassic,Header-PreClassic,0,UNKNOWN,UNKNOWN,0,0,0,Header-PreClassic
RD_132211,rd-132211,0,UNKNOWN,UNKNOWN,0,0,0,
RD_132328,rd-132328,0,UNKNOWN,UNKNOWN,0,0,0,
RD_20090515,rd-20090515,0,UNKNOWN,UNKNOWN,0,0,0,
RD_160052,rd-160052,0,UNKNOWN,UNKNOWN,0,0,0,
RD_161348,rd-161348,0,UNKNOWN,UNKNOWN,0,0,0,
header-Classic,Header-Classic,0,UNKNOWN,UNKNOWN,0,0,0,Header-Classic
CMC_161607,mc-161607,0,UNKNOWN,UNKNOWN,0,0,0,
CMC_161616,mc-161616,0,UNKNOWN,UNKNOWN,0,0,0,
CMC_161625,mc-161625,0,UNKNOWN,UNKNOWN,0,0,0,
CMC_161648,mc-161648,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_2A,c0.0.2a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_3A,c0.0.3a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_9A,c0.0.9a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_10A,c0.0.10a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_11A,c0.0.11a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_12A_D,c0.0.12a/Development,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_12A,c0.0.12a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_12A_01,c0.0.12a_01,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_12A_02,c0.0.12a_02,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_12A_03,c0.0.12a_03,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_13A_D,c0.0.13a/Development,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_13A,c0.0.13a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_13A_03,c0.0.13a_03,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A_D,c0.0.14a/Development,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A,c0.0.14a,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A_01,c0.0.14a_01,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A_03,c0.0.14a_03,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A_04,c0.0.14a_04,0,UNKNOWN,UNKNOWN,0,0,0,
C0_0_14A_05,c0.0.14a_05,0,UNKNOWN,UNKNOWN,0,0,0,
