readable,version,protocol,protocol_type,snapshot,notes
header-PreClassic,,,,,
RD_132211,rd-132211,,,,
RD_132328,rd-132328,,,,
RD_20090515,rd-20090515,,,,
RD_160052,rd-160052,,,,
RD_161348,rd-161348,,,,
header-Classic,,,,,
CMC_161607,mc-161607,,,,
CMC_161616,mc-161616,,,,
CMC_161625,mc-161625,,,,
CMC_161648,mc-161648,,,,
C0_0_2A,0.0.2a,,,,
C0_0_3A,0.0.3a,,,,
C0_0_9A,0.0.9a,,,,
C0_0_10A,0.0.10a,,,,
C0_0_11A,0.0.11a,,,,
C0_0_12A_D,0.0.12a/Development,,,,
C0_0_12A,0.0.12a,,,,
C0_0_12A_01,0.0.12a_01,,,,
C0_0_12A_02,0.0.12a_02,,,,
C0_0_12A_03,0.0.12a_03,,,,
C0_0_13A_D,0.0.13a/Development,,,,
C0_0_13A,0.0.13a,,,,
C0_0_13A_03,0.0.13a_03,,,,
C0_0_14A_D,0.0.14a/Development,,,,
C0_0_14A,0.0.14a,,,,
C0_0_14A_01,0.0.14a_01,,,,
C0_0_14A_03,0.0.14a_03,,,,
C0_0_14A_04,0.0.14a_04,,,,
C0_0_14A_05,0.0.14a_05,,,,
C0_0_14A_06,0.0.14a_06,,,,
C0_0_14A_07,0.0.14a_07,,,,
C0_0_14A_08,0.0.14a_08,,,,
C0_0_15A_D,0.0.15a/Development,,,,
C0_0_15A_M1,0.0.15a (Multiplayer Test 1),,,,
C0_0_15A_M2,0.0.15a (Multiplayer Test 2),,,,
C0_0_15A_M3,0.0.15a (Multiplayer Test 3),,,,
C0_0_15A_M4,0.0.15a (Multiplayer Test 4),,,,
C0_0_15A_M5,0.0.15a (Multiplayer Test 5),,,,
C0_0_15A_M6,0.0.15a (Multiplayer Test 6),,,,
C0_0_15A_M7,0.0.15a (Multiplayer Test 7),,,,
C0_0_15A_M8,0.0.15a (Multiplayer Test 8),,,,
C0_0_15A_01,0.0.15a_01,,,,
C0_0_15A_02,0.0.15a_02,,,,
C0_0_15A_03,0.0.15a_03,,,,
C0_0_16A,0.0.16a,,,,
C_SERVER_1_0,server 1.0,,,,Server for 0.0.16a
C0_0_16A_01,0.0.16a_01,,,,
C_SERVER_1_1,server 1.1,,,,Server for 0.0.16a_01
C0_0_16A_02,0.0.16a_02,3,PRE_PRE_NETTY,,
C_SERVER_1_2,server 1.2,3,PRE_PRE_NETTY,,Server for 0.0.16a_02
C0_0_17A,0.0.17a,4,PRE_PRE_NETTY,,
C_SERVER_1_3,server 1.3,4,PRE_PRE_NETTY,,Server for 0.0.17a
C0_0_18A,0.0.18a,4,PRE_PRE_NETTY,,
C_SERVER_1_4,server 1.4,4,PRE_PRE_NETTY,,Server for 0.0.18a
C0_0_18A_01,0.0.18a_01,4,PRE_PRE_NETTY,,
C_SERVER_1_4_1,server 1.4.1,4,PRE_PRE_NETTY,,Server for 0.0.18a_01
C0_0_18A_02,0.0.18a_02,4,PRE_PRE_NETTY,,
C0_0_19A,0.0.19a,5,PRE_PRE_NETTY,,
C_SERVER_1_5,server 1.5,5,PRE_PRE_NETTY,,Server for 0.0.19a
C0_0_19A_02,0.0.19a_02,5,PRE_PRE_NETTY,,
C0_0_19A_01,0.0.19a_01,5,PRE_PRE_NETTY,,
C_SERVER_1_6,server 1.6,5,PRE_PRE_NETTY,,Server for 0.0.19a_01
C0_0_19A_03,0.0.19a_03,5,PRE_PRE_NETTY,,
C0_0_19A_04,0.0.19a_04,5,PRE_PRE_NETTY,,
C0_0_19A_05,0.0.19a_05,5,PRE_PRE_NETTY,,
C0_0_19A_06,0.0.19a_06,5,PRE_PRE_NETTY,,
C_SERVER_1_7,server 1.7,5,PRE_PRE_NETTY,,Server for 0.0.19a_06
C0_0_20A,0.0.20a,6,PRE_PRE_NETTY,,
C_SERVER_1_8,server 1.8,6,PRE_PRE_NETTY,,Server for 0.0.20a
C_SERVER_1_8_1,server 1.8.1,6,PRE_PRE_NETTY,,Server for 0.0.20a
C0_0_20A_01,0.0.20a_01,6,PRE_PRE_NETTY,,
C_SERVER_1_8_2,server 1.8.2,6,PRE_PRE_NETTY,,Server for 0.0.20a_01 - 0.0.23a_01
C0_0_20A_02,0.0.20a_02,6,PRE_PRE_NETTY,,
C0_0_21A,0.0.21a,6,PRE_PRE_NETTY,,
C0_0_21A_01,0.0.21a_01,6,PRE_PRE_NETTY,,
C0_0_22A,0.0.22a,6,PRE_PRE_NETTY,,
C0_0_22A_01,0.0.22a_01,6,PRE_PRE_NETTY,,
C0_0_22A_02,0.0.22a_02,6,PRE_PRE_NETTY,,
C0_0_22A_03,0.0.22a_03,6,PRE_PRE_NETTY,,
C0_0_22A_04,0.0.22a_04,6,PRE_PRE_NETTY,,
C0_0_22A_05,0.0.22a_05,6,PRE_PRE_NETTY,,
C0_0_23A,0.0.23a,6,PRE_PRE_NETTY,,
C0_0_23A_01,0.0.23a_01,6,PRE_PRE_NETTY,,
C0_0_24_D,0.24 SURVIVAL TEST/Development,6,PRE_PRE_NETTY,,
C0_0_24,0.24_SURVIVAL_TEST,6,PRE_PRE_NETTY,,
C0_0_24_01,0.24_SURVIVAL_TEST_01,6,PRE_PRE_NETTY,,
C0_0_24_02,0.24_SURVIVAL_TEST_02,6,PRE_PRE_NETTY,,
C0_0_24_03,0.24_SURVIVAL_TEST_03,6,PRE_PRE_NETTY,,
C0_0_25,0.25 SURVIVAL_TEST,6,PRE_PRE_NETTY,,
C0_0_25_01,0.25_SURVIVAL_TEST_01,6,PRE_PRE_NETTY,,
C0_0_25_02,0.25_SURVIVAL_TEST_02,6,PRE_PRE_NETTY,,
C0_0_25_03,0.25_SURVIVAL_TEST_03,6,PRE_PRE_NETTY,,
C0_0_25_05,0.25_SURVIVAL_TEST_05,6,PRE_PRE_NETTY,,
C0_0_26_D,0.26_SURVIVAL_TEST/Development,6,PRE_PRE_NETTY,,
C0_0_26,0.26_SURVIVAL_TEST,6,PRE_PRE_NETTY,,
